
Dump of file C:\Windows\System32\WsmSvc.dll
        959  3BE 00092270 ??1?$LoaderSerializer@VIpHlpApiDllLoader@@$00@@QEAA@XZ
        960  3BF 00079930 ??1?$LoaderSerializer@VMachineName@@$00@@QEAA@XZ
        961  3C0 0008EE00 ??1?$LoaderSerializer@VNetworkServiceSid@CSecurity@@$00@@QEAA@XZ
        962  3C1 00092270 ??1?$LoaderSerializer@VNtDsApiDllLoader@@$00@@QEAA@XZ
        963  3C2 0008DF20 ??1?$LoaderSerializer@VResources@Locale@@$0A@@@QEAA@XZ
        964  3C3 00092270 ??1?$LoaderSerializer@VShell32DllLoader@@$00@@QEAA@XZ
        965  3C4 00092270 ??1?$LoaderSerializer@VShlWApiDllLoader@@$00@@QEAA@XZ
        966  3C5 000B98C0 ??1?$LoaderSerializer@VSubscriptionManager@@$01@@QEAA@XZ
        967  3C6 00092270 ??1?$LoaderSerializer@VUser32DllLoader@@$00@@QEAA@XZ
        968  3C7 00079940 ??1?$LoaderSerializer@VWSManMemCryptManager@@$00@@QEAA@XZ
        969  3C8 0005C290 ??1?$SafeMap@PEAVCCertMapping@@UEmpty@@V?$SafeSet_Iterator@PEAVCCertMapping@@@@@@QEAA@XZ
        970  3C9 0005C290 ??1?$SafeMap@PEAVCListenerOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@QEAA@XZ
        971  3CA 0005C290 ??1?$SafeMap@PEAVCShellUriSettings@@UEmpty@@V?$SafeSet_Iterator@PEAVCShellUriSettings@@@@@@QEAA@XZ
        972  3CB 0005C290 ??1?$SafeMap@PEAVCollector@@UEmpty@@V?$SafeSet_Iterator@PEAVCollector@@@@@@QEAA@XZ
        973  3CC 0005C2D0 ??1?$SafeMap@PEAVHostOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVHostOperation@@@@@@QEAA@XZ
        974  3CD 0005C310 ??1?$SafeMap@PEAVIOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVIOperation@@@@@@QEAA@XZ
        975  3CE 0005C290 ??1?$SafeMap@PEAVListenerSourceSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVListenerSourceSubscription@@@@@@QEAA@XZ
        976  3CF 0005C350 ??1?$SafeMap@PEAVPushSubscription@@UEmpty@@V?$SafeSet_Iterator@PEAVPushSubscription@@@@@@QEAA@XZ
        977  3D0 0005C290 ??1?$SafeMap@PEAXUEmpty@@V?$SafeSet_Iterator@PEAX@@@@QEAA@XZ
        978  3D1 0005C2D0 ??1?$SafeMap@UPluginKey@@KV?$SafeMap_Iterator@UPluginKey@@K@@@@QEAA@XZ
        979  3D2 00114190 ??1?$SafeMap@UUserKey@@PEAVBlockedRecord@@V?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@@@QEAA@XZ
        980  3D3 000B9900 ??1?$SafeMap@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@V?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@@@QEAA@XZ
        981  3D4 0005C390 ??1?$SafeMap@VKey@Locale@@KV?$SafeMap_Iterator@VKey@Locale@@K@@@@QEAA@XZ
        982  3D5 0005C2D0 ??1?$SafeMap@VStringKeyCI@@KV?$SafeMap_Iterator@VStringKeyCI@@K@@@@QEAA@XZ
        983  3D6 0005C290 ??1?$SafeMap@VStringKeyCI@@UEmpty@@V?$SafeSet_Iterator@VStringKeyCI@@@@@@QEAA@XZ
        984  3D7 0011E410 ??1?$SafeMap@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@V?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@@@QEAA@XZ
        985  3D8 00137310 ??1?$SafeMap@VStringKeyStore@@PEAVExpiredOperationIdRecord@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@@@QEAA@XZ
        986  3D9 00132300 ??1?$SafeMap@VStringKeyStore@@PEAVServerFullDuplexChannel@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@@@QEAA@XZ
        987  3DA 000B7380 ??1?$SafeMap@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@QEAA@XZ
        988  3DB 0000A260 ??1?$SafeMap@_KPEAVSendPacketArgs@RobustConnectionBuffer@@V?$SafeMap_Iterator@_KPEAVSendPacketArgs@RobustConnectionBuffer@@@@@@QEAA@XZ
        989  3DC 0005C3D0 ??1?$SafeMap_Iterator@PEAVCCertMapping@@UEmpty@@@@QEAA@XZ
        990  3DD 0005C3D0 ??1?$SafeMap_Iterator@PEAVCListenerConnect@@PEAV1@@@QEAA@XZ
        991  3DE 0005C3D0 ??1?$SafeMap_Iterator@PEAVCListenerOperation@@UEmpty@@@@QEAA@XZ
        992  3DF 0005C3D0 ??1?$SafeMap_Iterator@PEAVCListenerReceive@@PEAV1@@@QEAA@XZ
        993  3E0 0005C3D0 ??1?$SafeMap_Iterator@PEAVCListenerSend@@PEAV1@@@QEAA@XZ
        994  3E1 0005C3D0 ??1?$SafeMap_Iterator@PEAVCListenerSignal@@PEAV1@@@QEAA@XZ
        995  3E2 0005C3D0 ??1?$SafeMap_Iterator@PEAVCShellUriSettings@@UEmpty@@@@QEAA@XZ
        996  3E3 0005C3D0 ??1?$SafeMap_Iterator@PEAVCollector@@UEmpty@@@@QEAA@XZ
        997  3E4 0005C3D0 ??1?$SafeMap_Iterator@PEAVHostOperation@@UEmpty@@@@QEAA@XZ
        998  3E5 0000B2A0 ??1?$SafeMap_Iterator@PEAVIOperation@@UEmpty@@@@QEAA@XZ
        999  3E6 0005C3D0 ??1?$SafeMap_Iterator@PEAVListenerSourceSubscription@@UEmpty@@@@QEAA@XZ
       1000  3E7 0005C3D0 ??1?$SafeMap_Iterator@PEAVPushSubscription@@UEmpty@@@@QEAA@XZ
       1001  3E8 0005C3D0 ??1?$SafeMap_Iterator@PEAXUEmpty@@@@QEAA@XZ
       1002  3E9 0005C3D0 ??1?$SafeMap_Iterator@UPluginKey@@K@@QEAA@XZ
       1003  3EA 0005C3D0 ??1?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@QEAA@XZ
       1004  3EB 0005C3D0 ??1?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@QEAA@XZ
       1005  3EC 0005C3D0 ??1?$SafeMap_Iterator@VGuidKey@@PEAVCListenerCommand@@@@QEAA@XZ
       1006  3ED 0005C3D0 ??1?$SafeMap_Iterator@VKey@Locale@@K@@QEAA@XZ
       1007  3EE 0005C3D0 ??1?$SafeMap_Iterator@VStringKeyCI@@K@@QEAA@XZ
       1008  3EF 0005C3D0 ??1?$SafeMap_Iterator@VStringKeyCI@@UEmpty@@@@QEAA@XZ
       1009  3F0 0005C3D0 ??1?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@QEAA@XZ
       1010  3F1 0005C3D0 ??1?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@QEAA@XZ
       1011  3F2 0005C3D0 ??1?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@QEAA@XZ
       1012  3F3 0000B2A0 ??1?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@QEAA@XZ
       1013  3F4 0000B2A0 ??1?$SafeMap_Iterator@_KPEAVSendPacketArgs@RobustConnectionBuffer@@@@QEAA@XZ
       1014  3F5 0005C450 ??1?$SafeMap_Lock@PEAVCCertMapping@@UEmpty@@V?$SafeMap_Iterator@PEAVCCertMapping@@UEmpty@@@@@@QEAA@XZ
       1015  3F6 0005C450 ??1?$SafeMap_Lock@PEAVCCertMapping@@UEmpty@@V?$SafeSet_Iterator@PEAVCCertMapping@@@@@@QEAA@XZ
       1016  3F7 0005C450 ??1?$SafeMap_Lock@PEAVCListenerConnect@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerConnect@@PEAV1@@@@@QEAA@XZ
       1017  3F8 0005C450 ??1?$SafeMap_Lock@PEAVCListenerOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVCListenerOperation@@UEmpty@@@@@@QEAA@XZ
       1018  3F9 0005C450 ??1?$SafeMap_Lock@PEAVCListenerOperation@@UEmpty@@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@QEAA@XZ
       1019  3FA 0005C450 ??1?$SafeMap_Lock@PEAVCListenerReceive@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerReceive@@PEAV1@@@@@QEAA@XZ
       1020  3FB 0005C450 ??1?$SafeMap_Lock@PEAVCListenerSend@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerSend@@PEAV1@@@@@QEAA@XZ
       1021  3FC 0005C450 ??1?$SafeMap_Lock@PEAVCListenerSignal@@PEAV1@V?$SafeMap_Iterator@PEAVCListenerSignal@@PEAV1@@@@@QEAA@XZ
       1022  3FD 0005C450 ??1?$SafeMap_Lock@PEAVCShellUriSettings@@UEmpty@@V?$SafeMap_Iterator@PEAVCShellUriSettings@@UEmpty@@@@@@QEAA@XZ
       1023  3FE 0005C450 ??1?$SafeMap_Lock@PEAVCShellUriSettings@@UEmpty@@V?$SafeSet_Iterator@PEAVCShellUriSettings@@@@@@QEAA@XZ
       1024  3FF 0005C450 ??1?$SafeMap_Lock@PEAVCollector@@UEmpty@@V?$SafeMap_Iterator@PEAVCollector@@UEmpty@@@@@@QEAA@XZ
       1025  400 0005C450 ??1?$SafeMap_Lock@PEAVHostOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVHostOperation@@UEmpty@@@@@@QEAA@XZ
       1026  401 0005C450 ??1?$SafeMap_Lock@PEAVIOperation@@UEmpty@@V?$SafeMap_Iterator@PEAVIOperation@@UEmpty@@@@@@QEAA@XZ
       1027  402 0005C450 ??1?$SafeMap_Lock@PEAVListenerSourceSubscription@@UEmpty@@V?$SafeMap_Iterator@PEAVListenerSourceSubscription@@UEmpty@@@@@@QEAA@XZ
       1028  403 0005C450 ??1?$SafeMap_Lock@PEAVPushSubscription@@UEmpty@@V?$SafeMap_Iterator@PEAVPushSubscription@@UEmpty@@@@@@QEAA@XZ
       1029  404 0005C450 ??1?$SafeMap_Lock@PEAXUEmpty@@V?$SafeMap_Iterator@PEAXUEmpty@@@@@@QEAA@XZ
       1030  405 0005C450 ??1?$SafeMap_Lock@PEAXUEmpty@@V?$SafeSet_Iterator@PEAX@@@@QEAA@XZ
       1031  406 0005C450 ??1?$SafeMap_Lock@UPluginKey@@KV?$SafeMap_Iterator@UPluginKey@@K@@@@QEAA@XZ
       1032  407 0005C450 ??1?$SafeMap_Lock@UUserKey@@PEAVBlockedRecord@@V?$SafeMap_Iterator@UUserKey@@PEAVBlockedRecord@@@@@@QEAA@XZ
       1033  408 0005C450 ??1?$SafeMap_Lock@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@V?$SafeMap_Iterator@VCertThumbprintKey@@VCertThumbprintMappedSet@CServiceConfigSettings@@@@@@QEAA@XZ
       1034  409 0005C450 ??1?$SafeMap_Lock@VGuidKey@@PEAVCListenerCommand@@V?$SafeMap_Iterator@VGuidKey@@PEAVCListenerCommand@@@@@@QEAA@XZ
       1035  40A 0005C450 ??1?$SafeMap_Lock@VKey@Locale@@KV?$SafeMap_Iterator@VKey@Locale@@K@@@@QEAA@XZ
       1036  40B 0005C450 ??1?$SafeMap_Lock@VStringKeyCI@@KV?$SafeMap_Iterator@VStringKeyCI@@K@@@@QEAA@XZ
       1037  40C 0005C450 ??1?$SafeMap_Lock@VStringKeyCI@@UEmpty@@V?$SafeMap_Iterator@VStringKeyCI@@UEmpty@@@@@@QEAA@XZ
       1038  40D 0005C450 ??1?$SafeMap_Lock@VStringKeyCI@@UEmpty@@V?$SafeSet_Iterator@VStringKeyCI@@@@@@QEAA@XZ
       1039  40E 0005C450 ??1?$SafeMap_Lock@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@V?$SafeMap_Iterator@VStringKeyCI@@UUSER_CONTEXT_INFO@WSManHttpListener@@@@@@QEAA@XZ
       1040  40F 0005C450 ??1?$SafeMap_Lock@VStringKeyStore@@PEAVExpiredOperationIdRecord@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVExpiredOperationIdRecord@@@@@@QEAA@XZ
       1041  410 0005C450 ??1?$SafeMap_Lock@VStringKeyStore@@PEAVServerFullDuplexChannel@@V?$SafeMap_Iterator@VStringKeyStore@@PEAVServerFullDuplexChannel@@@@@@QEAA@XZ
       1042  411 0005C450 ??1?$SafeMap_Lock@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@QEAA@XZ
       1043  412 0005C450 ??1?$SafeMap_Lock@_KPEAVSendPacketArgs@RobustConnectionBuffer@@V?$SafeMap_Iterator@_KPEAVSendPacketArgs@RobustConnectionBuffer@@@@@@QEAA@XZ
       1044  413 0005C480 ??1?$SafeSet@PEAVCCertMapping@@@@QEAA@XZ
       1045  414 0005C480 ??1?$SafeSet@PEAVCListenerOperation@@@@QEAA@XZ
       1046  415 0005C480 ??1?$SafeSet@PEAVCShellUriSettings@@@@QEAA@XZ
       1047  416 0005C480 ??1?$SafeSet@PEAVCollector@@@@QEAA@XZ
       1048  417 0005C490 ??1?$SafeSet@PEAVHostOperation@@@@QEAA@XZ
       1049  418 0005C4A0 ??1?$SafeSet@PEAVIOperation@@@@QEAA@XZ
       1050  419 0005C480 ??1?$SafeSet@PEAVListenerSourceSubscription@@@@QEAA@XZ
       1051  41A 0005C4B0 ??1?$SafeSet@PEAVPushSubscription@@@@QEAA@XZ
       1052  41B 0005C480 ??1?$SafeSet@PEAX@@QEAA@XZ
       1053  41C 0005C480 ??1?$SafeSet@VStringKeyCI@@@@QEAA@XZ
       1054  41D 0005C4C0 ??1?$SafeSet_Iterator@PEAVCCertMapping@@@@QEAA@XZ
       1055  41E 0005C4C0 ??1?$SafeSet_Iterator@PEAVCListenerOperation@@@@QEAA@XZ
       1056  41F 0005C4C0 ??1?$SafeSet_Iterator@PEAVCShellUriSettings@@@@QEAA@XZ
       1057  420 0005C4C0 ??1?$SafeSet_Iterator@PEAVCollector@@@@QEAA@XZ
       1058  421 0005C4C0 ??1?$SafeSet_Iterator@PEAVHostOperation@@@@QEAA@XZ
       1059  422 0005C4D0 ??1?$SafeSet_Iterator@PEAVIOperation@@@@QEAA@XZ
       1060  423 0005C4C0 ??1?$SafeSet_Iterator@PEAVListenerSourceSubscription@@@@QEAA@XZ
       1061  424 0005C4C0 ??1?$SafeSet_Iterator@PEAVPushSubscription@@@@QEAA@XZ
       1062  425 0005C4C0 ??1?$SafeSet_Iterator@PEAX@@QEAA@XZ
       1063  426 0005C4C0 ??1?$SafeSet_Iterator@VStringKeyCI@@@@QEAA@XZ
       1064  427 0005C4E0 ??1?$SimpleQueue@T_LARGE_INTEGER@@@@QEAA@XZ
       1065  428 0005BF50 ??1AutoBstr@@QEAA@XZ
       1066  429 0005BF50 ??1AutoBstrNoAlloc@@QEAA@XZ
       1067  42A 0005BF60 ??1AutoCertContext@@QEAA@XZ
       1068  42B 0005BF70 ??1AutoChainContext@@QEAA@XZ
       1069  42C 0005BF80 ??1AutoCoTaskMemFree@@QEAA@XZ
       1070  42D 0005BF90 ??1AutoFwXmlCloseParser@@QEAA@XZ
       1071  42E 0002AD40 ??1AutoHandle@@QEAA@XZ
       1072  42F 0005BFE0 ??1AutoImpersonateUser@@QEAA@XZ
       1073  430 0005BFF0 ??1AutoLibrary@@QEAA@XZ
       1074  431 0005C000 ??1AutoLocalFree@@QEAA@XZ
       1075  432 0005C010 ??1AutoMIClass@@QEAA@XZ
       1076  433 0005C580 ??1AutoMIInstance@@QEAA@XZ
       1077  434 0005C040 ??1AutoObject@@QEAA@XZ
       1078  435 0005C050 ??1AutoRegKey@@QEAA@XZ
       1079  436 0005C000 ??1AutoSecurityDescriptor@@QEAA@XZ
       1080  437 0005C060 ??1AutoWaitHandle@@QEAA@XZ
       1081  438 0002A710 ??1BufferFormatter@@UEAA@XZ
       1082  439 00175DD0 ??1CBaseConfigCache@@UEAA@XZ
       1083  43A 0005C5A0 ??1CClientConfigCache@@UEAA@XZ
       1084  43B 0005C5B0 ??1CCommonConfigSettings@@UEAA@XZ
       1085  43C 0018F160 ??1CConfigManager@@UEAA@XZ
       1086  43D 0005C5B0 ??1CErrorContext@@UEAA@XZ
       1087  43E 0000E890 ??1CRequestContext@@UEAA@XZ
       1088  43F 0002A770 ??1CResourceAlias@@QEAA@XZ
       1089  440 00174AD0 ??1CServiceConfigCache@@EEAA@XZ
       1090  441 00174B90 ??1CServiceWatcher@CServiceConfigCache@@QEAA@XZ
       1091  442 0000B1F0 ??1CWSManCriticalSection@@QEAA@XZ
       1092  443 0005C5D0 ??1CWSManCriticalSectionWithConditionVar@@QEAA@XZ
       1093  444 00074440 ??1CWSManEPR@@UEAA@XZ
       1094  445 00182BE0 ??1CWSManGroupPolicyManager@@EEAA@XZ
       1095  446 0005C5E0 ??1CWSManResource@@UEAA@XZ
       1096  447 00074490 ??1CWSManResourceNoResourceUri@@UEAA@XZ
       1097  448 00097720 ??1CWSManSecurityUI@@QEAA@XZ
       1098  449 00198FE0 ??1CWinRSPluginConfigCache@@EEAA@XZ
       1099  44A 0002B600 ??1ChildLifeTimeManager@@QEAA@XZ
       1100  44B 0005C610 ??1CircularBufferFormatter@@UEAA@XZ
       1101  44C 00199440 ??1ConfigRegistry@@IEAA@XZ
       1102  44D 0005C640 ??1EtwCorrelationHelper@@UEAA@XZ
       1103  44E 0000B320 ??1EventHandler@WSMan@@QEAA@XZ
       1104  44F 0005C660 ??1IConfigChangeObserver@@UEAA@XZ
       1105  450 0005C5B0 ??1ILifeTimeMgmt@@UEAA@XZ
       1106  451 0005C5B0 ??1IRequestContext@@UEAA@XZ
       1107  452 0005C680 ??1IWSManGroupPolicyObserver@@UEAA@XZ
       1108  453 0005C5B0 ??1IWSManGroupPolicyPublisher@@UEAA@XZ
       1109  454 0005C6A0 ??1MessageId@PacketParser@@QEAA@XZ
       1110  455 001943C0 ??1OnHTTPInitialize@@QEAA@XZ
       1111  456 0005C6A0 ??1OperationId@PacketParser@@QEAA@XZ
       1112  457 0005C6B0 ??1OwnLock@@QEAA@XZ
       1113  458 00086610 ??1PacketParser@@QEAA@XZ
       1114  459 0005C6D0 ??1RBUFFER@@QEAA@XZ
       1115  45A 0005C700 ??1ReferenceParameters@PacketParser@@QEAA@XZ
       1116  45B 0005C730 ??1SBUFFER@@QEAA@XZ
       1117  45C 0005C740 ??1ShareLock@@QEAA@XZ
       1118  45D 0002B600 ??1SoapSemanticConverter@@QEAA@XZ
       1119  45E 0005C730 ??1TSTRBUFFER@@QEAA@XZ
       1120  45F 0005C760 ??1UserRecord@@QEAA@XZ
       1121  460 0019BAB0 ??1XmlReader@@QEAA@XZ
       1122  461 0005C910 ??4?$AutoCleanup@V?$AutoDelete@D@@PEAD@@QEAAAEAV?$AutoDelete@D@@PEAD@Z
       1123  462 0005C910 ??4?$AutoCleanup@V?$AutoDelete@G@@PEAG@@QEAAAEAV?$AutoDelete@G@@PEAG@Z
       1124  463 0011E8F0 ??4?$AutoCleanup@V?$AutoDelete@V?$SafeMap_Iterator@VStringKeyCI@@K@@@@PEAV?$SafeMap_Iterator@VStringKeyCI@@K@@@@QEAAAEAV?$AutoDelete@V?$SafeMap_Iterator@VStringKeyCI@@K@@@@PEAV?$SafeMap_Iterator@VStringKeyCI@@K@@@Z
       1125  464 000B73C0 ??4?$AutoCleanup@V?$AutoDelete@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@PEAV?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@QEAAAEAV?$AutoDelete@V?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@@PEAV?$SafeMap_Iterator@W4WSManSessionOption@@PEAVOptionValue@SessionOptions@Client@WSMan@@@@@Z
       1126  465 0005C800 ??4?$AutoCleanup@V?$AutoDelete@V?$SafeSet@PEAVCCertMapping@@@@@@PEAV?$SafeSet@PEAVCCertMapping@@@@@@QEAAAEAV?$AutoDelete@V?$SafeSet@PEAVCCertMapping@@@@@@PEAV?$SafeSet@PEAVCCertMapping@@@@@Z
       1127  466 0017C3B0 ??4?$AutoCleanup@V?$AutoDelete@V?$SafeSet@PEAVCShellUriSettings@@@@@@PEAV?$SafeSet@PEAVCShellUriSettings@@@@@@QEAAAEAV?$AutoDelete@V?$SafeSet@PEAVCShellUriSettings@@@@@@PEAV?$SafeSet@PEAVCShellUriSettings@@@@@Z
       1128  467 0011E8F0 ??4?$AutoCleanup@V?$AutoDelete@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@PEAV?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@QEAAAEAV?$AutoDelete@V?$SafeSet_Iterator@PEAVCListenerOperation@@@@@@PEAV?$SafeSet_Iterator@PEAVCListenerOperation@@@@@Z
       1129  468 0005C840 ??4?$AutoCleanup@V?$AutoDelete@V?$set@PEAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PEAVCListenerSettings@@@@@std@@@@PEAV?$set@PEAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PEAVCListenerSettings@@@@@std@@@@QEAAAEAV?$AutoDelete@V?$set@PEAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PEAVCListenerSettings@@@@@std@@@@PEAV?$set@PEAVCListenerSettings@@VCListenerSettingsLessFunctor@CServiceConfigSettings@@V?$transport_allocator@PEAVCListenerSettings@@@@@std@@@Z
       1130  469 0005C840 ??4?$AutoCleanup@V?$AutoDelete@V?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@@PEAV?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@@QEAAAEAV?$AutoDelete@V?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@@PEAV?$set@Usockaddr_storage@@VSockAddrLessFunctor@CListenerSettings@@V?$transport_allocator@Usockaddr_storage@@@@@std@@@Z
       1131  46A 000B8530 ??4?$AutoCleanup@V?$AutoDelete@V?$vector@PEAVHandleImpl@Client@WSMan@@V?$transport_allocator@PEAVHandleImpl@Client@WSMan@@@@@std@@@@PEAV?$vector@PEAVHandleImpl@Client@WSMan@@V?$transport_allocator@PEAVHandleImpl@Client@WSMan@@@@@std@@@@QEAAAEAV?$AutoDelete@V?$vector@PEAVHandleImpl@Client@WSMan@@V?$transport_allocator@PEAVHandleImpl@Client@WSMan@@@@@std@@@@PEAV?$vector@PEAVHandleImpl@Client@WSMan@@V?$transport_allocator@PEAVHandleImpl@Client@WSMan@@@@@std@@@Z
       1132  46B 00174BE0 ??4?$AutoCleanup@V?$AutoDelete@V?$vector@PEAVIServiceConfigObserver@@V?$transport_allocator@PEAVIServiceConfigObserver@@@@@std@@@@PEAV?$vector@PEAVIServiceConfigObserver@@V?$transport_allocator@PEAVIServiceConfigObserver@@@@@std@@@@QEAAAEAV?$AutoDelete@V?$vector@PEAVIServiceConfigObserver@@V?$transport_allocator@PEAVIServiceConfigObserver@@@@@std@@@@PEAV?$vector@PEAVIServiceConfigObserver@@V?$transport_allocator@PEAVIServiceConfigObserver@@@@@std@@@Z
       1133  46C 00114340 ??4?$AutoCleanup@V?$AutoDelete@VBlockedRecord@@@@PEAVBlockedRecord@@@@QEAAAEAV?$AutoDelete@VBlockedRecord@@@@PEAVBlockedRecord@@@Z
       1134  46D 00175EE0 ??4?$AutoCleanup@V?$AutoDelete@VCConfigChangeSource@@@@PEAVCConfigChangeSource@@@@QEAAAEAV?$AutoDelete@VCConfigChangeSource@@@@PEAVCConfigChangeSource@@@Z
       1135  46E 0005C8C0 ??4?$AutoCleanup@V?$AutoDelete@VCObserverConfigChangeErrors@@@@PEAVCObserverConfigChangeErrors@@@@QEAAAEAV?$AutoDelete@VCObserverConfigChangeErrors@@@@PEAVCObserverConfigChangeErrors@@@Z
       1136  46F 00061230 ??4?$AutoCleanup@V?$AutoDelete@VCServiceWatcher@CServiceConfigCache@@@@PEAVCServiceWatcher@CServiceConfigCache@@@@QEAAAEAV?$AutoDelete@VCServiceWatcher@CServiceConfigCache@@@@PEAVCServiceWatcher@CServiceConfigCache@@@Z
       1137  470 00061290 ??4?$AutoCleanup@V?$AutoDelete@VCWSManResource@@@@PEAVCWSManResource@@@@QEAAAEAV?$AutoDelete@VCWSManResource@@@@PEAVCWSManResource@@@Z
       1138  471 000DE830 ??4?$AutoCleanup@V?$AutoDelete@VCertHash@@@@PEAVCertHash@@@@QEAAAEAV?$AutoDelete@VCertHash@@@@PEAVCertHash@@@Z
       1139  472 0017DE80 ??4?$AutoCleanup@V?$AutoDelete@VConfigUpdate@@@@PEAVConfigUpdate@@@@QEAAAEAV?$AutoDelete@VConfigUpdate@@@@PEAVConfigUpdate@@@Z
       1140  473 00077CA0 ??4?$AutoCleanup@V?$AutoDelete@VEnumSinkEx@@@@PEAVEnumSinkEx@@@@QEAAAEAV?$AutoDelete@VEnumSinkEx@@@@PEAVEnumSinkEx@@@Z
       1141  474 00182E00 ??4?$AutoCleanup@V?$AutoDelete@VGPApiManager@@@@PEAVGPApiManager@@@@QEAAAEAV?$AutoDelete@VGPApiManager@@@@PEAVGPApiManager@@@Z
       1142  475 00077CA0 ??4?$AutoCleanup@V?$AutoDelete@VGeneralSinkEx@@@@PEAVGeneralSinkEx@@@@QEAAAEAV?$AutoDelete@VGeneralSinkEx@@@@PEAVGeneralSinkEx@@@Z
       1143  476 0005C8C0 ??4?$AutoCleanup@V?$AutoDelete@VIChannelObserverFactory@@@@PEAVIChannelObserverFactory@@@@QEAAAEAV?$AutoDelete@VIChannelObserverFactory@@@@PEAVIChannelObserverFactory@@@Z
       1144  477 0005C8C0 ??4?$AutoCleanup@V?$AutoDelete@VIQueryDASHSMASHInterface@@@@PEAVIQueryDASHSMASHInterface@@@@QEAAAEAV?$AutoDelete@VIQueryDASHSMASHInterface@@@@PEAVIQueryDASHSMASHInterface@@@Z
       1145  478 0005C910 ??4?$AutoCleanup@V?$AutoDelete@VISpecification@@@@PEAVISpecification@@@@QEAAAEAV?$AutoDelete@VISpecification@@@@PEAVISpecification@@@Z
       1146  479 001414A0 ??4?$AutoCleanup@V?$AutoDelete@VPacketCreator@@@@PEAVPacketCreator@@@@QEAAAEAV?$AutoDelete@VPacketCreator@@@@PEAVPacketCreator@@@Z
       1147  47A 000AB620 ??4?$AutoCleanup@V?$AutoDelete@VPacketParser@@@@PEAVPacketParser@@@@QEAAAEAV?$AutoDelete@VPacketParser@@@@PEAVPacketParser@@@Z
       1148  47B 00184790 ??4?$AutoCleanup@V?$AutoDelete@VRunAsConfiguration@@@@PEAVRunAsConfiguration@@@@QEAAAEAV?$AutoDelete@VRunAsConfiguration@@@@PEAVRunAsConfiguration@@@Z
